CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
3415,FACULDADE DE TECNOLOGIA DE CAXIAS DO SUL,Privada,Caxias do Sul,RS,Extinta
2266,FACULDADE UNIÃO DE GOYAZES FORMOSA,Privada,Formosa,GO,Ativa
2805,FACULDADE MODELO,Privada,Curitiba,PR,Ativa
2836,FACULDADE SUL DA AMÉRICA,Privada,Aparecida de Goiânia,GO,Ativa
3948,FACULDADE SENAC BLUMENAU,Privada,Blumenau,SC,Ativa
21505,FACULDADE PRISMA DE APUCARANA,Privada,Apucarana,PR,Ativa
519,UNIVERSIDADE CATÓLICA DO SALVADOR,Privada,Salvador,BA,Ativa
3299,FACULDADE DE TECNOLOGIA INFORMÁTICA,Privada,Fortaleza,CE,Ativa
2189,FACULDADE DO MARANHÃO,Privada,São Luís,MA,Ativa
1450,CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO,Privada,Patrocínio,MG,Ativa
14860,FACULDADE TECNOLÓGICA DENTAL CEEO,Privada,Igrejinha,RS,Ativa
3920,FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE,Privada,Anápolis,GO,Ativa
1815,FACULDADE DO INSTITUTO BRASIL,Privada,Anápolis,GO,Ativa
2636,FACULDADE DINÂMICA DO VALE DO PIRANGA,Privada,Ponte Nova,MG,Ativa
14975,FACULDADE DO NORDESTE DA BAHIA,Privada,Coronel João Sá,BA,Ativa
21415,FACULDADE UNA DE NOVA SERRANA,Privada,Nova Serrana,MG,Extinta
18978,Faculdade Rebouças de Campina Grande,Privada,Campina Grande,PB,Ativa
1841,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE,Privada,Presidente Prudente,SP,Ativa
14326,FACULDADE DE TECNOLOGIA INSAEOS,Privada,Cascavel,PR,Extinta
1637,FACULDADE DELMIRO GOUVEIA,Privada,Maceió,AL,Ativa
5048,FACULDADE DE TEOLOGIA DE SÃO PAULO DA IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL,Privada,São Paulo,SP,Ativa
17777,FACULDADE SENAC CONCÓRDIA,Privada,Concórdia,SC,Ativa
14246,Faculdade Presidente Antônio Carlos de Uberaba,Privada,Uberaba,MG,Ativa
1926,FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES,Privada,Cataguases,MG,Ativa
13743,Faculdade Anhanguera de Governador Valadares,Privada,Governador Valadares,MG,Ativa
2222,Centro Universitário do Rio São Francisco Unirios,Privada,Paulo Afonso,BA,Ativa
1618,CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU,Privada,Blumenau,SC,Ativa
24074,"Faculdade de Gestão, Educação e de Saúde",Privada,Cuiabá,MT,Ativa
2264,FACULDADE DE COMUNICAÇÃO ANHANGUERA UNIDADE GUARAPARI,Privada,Guarapari,ES,Ativa
14229,Faculdade Presidente Antônio Carlos de São Vicente de Minas,Privada,São Vicente de Minas,MG,Extinta
2941,INSTITUTO SUPERIOR DE TEOLOGIA E PASTORAL DE BONFIM,Privada,Senhor do Bonfim,BA,Extinta
13648,FACULDADE DE SÃO MARCOS,Privada,São Marcos,RS,Ativa
24922,FACULDADE SÃO VICENTE DE IRATI,Privada,Irati,PR,Ativa
5447,FACULDADE PARA O DESENVOLVIMENTO DO SUDESTE TOCANTINENSE,Privada,Dianópolis,TO,Extinta
2903,FACULDADE CONCÓRDIA,Privada,Concórdia,SC,Ativa
4149,FACULDADE DE TECNOLOGIA SENAI ITAJAÍ,Privada,Itajaí,SC,Extinta
12922,FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA,Privada,Alagoinhas,BA,Ativa
124,UNIVERSIDADE DE ARARAQUARA,Privada,Araraquara,SP,Ativa
1276,INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,Privada,Taubaté,SP,Ativa
1221,Escola Superior de Agronomia de Paraguaçu Paulista,Privada,Paraguaçu Paulista,SP,Ativa
4450,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,Privada,Belém,PA,Ativa
